date,shanghai,beijing,guangzhou,shenzhen
20180402,68.04166666666667,224.75,77.58333333333333,49.125
20180403,70.33333333333333,78.0,81.79166666666667,55.666666666666664
20180404,50.625,34.458333333333336,62.25,49.958333333333336
20180405,43.375,91.58333333333333,48.833333333333336,41.333333333333336
20180406,101.70833333333333,78.58333333333333,43.708333333333336,45.125
20180407,65.20833333333333,52.916666666666664,79.625,72.125
20180408,70.54166666666667,68.75,77.54166666666667,79.625
20180409,76.79166666666667,112.29166666666667,98.0,76.875
20180410,66.16666666666667,96.5,67.45833333333333,53.916666666666664
20180411,104.16666666666667,50.666666666666664,58.75,49.791666666666664
20180412,63.75,78.91666666666667,45.916666666666664,40.75
20180413,53.166666666666664,64.16666666666667,35.5,28.25
20180414,46.833333333333336,122.41666666666667,35.0,27.875
20180415,92.91666666666667,66.875,24.333333333333332,29.166666666666668
20180416,109.04166666666667,104.5,58.208333333333336,35.333333333333336
20180417,61.791666666666664,142.875,78.04166666666667,54.666666666666664
20180418,79.66666666666667,144.0,132.58333333333334,64.33333333333333
20180419,73.91666666666667,170.20833333333334,107.875,65.5
20180420,62.541666666666664,173.41666666666666,81.83333333333333,58.916666666666664
20180421,59.083333333333336,102.625,56.208333333333336,49.416666666666664
20180422,53.041666666666664,35.458333333333336,55.458333333333336,45.875
20180423,38.291666666666664,31.041666666666668,35.083333333333336,22.083333333333332
20180424,45.458333333333336,45.083333333333336,40.041666666666664,36.875
20180425,85.875,61.5,41.75,45.958333333333336
20180426,48.75,118.33333333333333,81.33333333333333,55.708333333333336
20180427,116.04166666666667,111.45833333333333,68.58333333333333,63.666666666666664
20180428,146.625,129.95833333333334,63.791666666666664,62.5
20180429,135.0,188.33333333333334,60.916666666666664,48.666666666666664
20180430,120.91666666666667,59.708333333333336,56.208333333333336,42.583333333333336
20180501,75.41666666666667,125.54166666666667,43.333333333333336,29.416666666666668
20180502,91.20833333333333,45.75,50.75,33.416666666666664
20180503,72.70833333333333,50.75,46.833333333333336,57.708333333333336
20180504,90.33333333333333,87.08333333333333,48.208333333333336,63.083333333333336
20180505,62.26086956521739,179.91304347826087,53.47826086956522,52.391304347826086
20180506,62.041666666666664,121.54166666666667,41.541666666666664,33.291666666666664
20180507,32.75,76.75,24.208333333333332,16.208333333333332
20180508,60.04347826086956,65.69565217391305,32.26086956521739,29.73913043478261
20180509,64.08333333333333,82.875,41.166666666666664,39.5
20180510,65.91666666666667,122.91666666666667,46.125,62.333333333333336
20180511,63.666666666666664,105.25,57.583333333333336,50.333333333333336
20180512,102.75,190.0,57.25,40.375
20180513,115.33333333333333,72.79166666666667,50.291666666666664,34.875
20180514,92.625,168.25,49.75,30.25
20180515,91.68181818181819,91.04545454545455,39.72727272727273,24.363636363636363
20180516,91.45833333333333,147.45833333333334,37.875,26.375
20180517,81.41666666666667,64.58333333333333,39.041666666666664,26.25
20180518,60.833333333333336,42.5,41.083333333333336,20.916666666666668
20180519,49.25,78.16666666666667,62.083333333333336,30.625
20180520,45.583333333333336,59.75,48.083333333333336,27.291666666666668
20180521,44.291666666666664,82.625,57.5,27.916666666666668
20180522,46.041666666666664,105.125,64.5,28.5
20180523,81.25,142.25,82.5,58.208333333333336
20180524,86.375,107.0,68.0,38.25
20180525,52.083333333333336,111.25,46.0,22.833333333333332
20180526,49.791666666666664,140.91666666666666,40.875,24.25
20180527,55.125,89.125,41.0,30.5
20180528,108.45833333333333,188.375,74.91666666666667,82.875
20180529,146.45833333333334,46.25,55.041666666666664,54.25
20180530,118.75,56.833333333333336,59.0,32.291666666666664
20180531,86.58333333333333,97.54166666666667,54.25,31.0
20180601,87.33333333333333,91.5,52.916666666666664,35.208333333333336
20180602,72.79166666666667,120.375,62.666666666666664,52.125
20180603,77.33333333333333,92.33333333333333,61.916666666666664,63.375
20180604,63.416666666666664,76.45833333333333,55.541666666666664,39.666666666666664
20180605,119.20833333333333,110.5,33.291666666666664,25.583333333333332
20180606,110.45833333333333,116.45833333333333,19.625,18.708333333333332
20180607,69.0,71.66666666666667,16.916666666666668,27.541666666666668
20180608,48.791666666666664,52.0,18.666666666666668,26.5
20180609,46.291666666666664,52.833333333333336,23.458333333333332,34.541666666666664
20180610,64.45833333333333,60.916666666666664,52.958333333333336,46.583333333333336
20180611,117.875,88.58333333333333,86.375,86.125
20180612,129.70833333333334,125.54166666666667,60.875,56.708333333333336
20180613,123.25,77.25,31.958333333333332,47.458333333333336
20180614,76.125,66.58333333333333,37.083333333333336,41.083333333333336
20180615,57.083333333333336,130.875,32.625,37.208333333333336
20180616,52.0,111.04166666666667,65.91666666666667,46.375
20180617,52.208333333333336,77.375,86.54166666666667,50.041666666666664
20180618,49.541666666666664,126.33333333333333,80.125,52.125
20180619,42.608695652173914,92.56521739130434,35.69565217391305,31.782608695652176
20180620,43.958333333333336,79.83333333333333,47.291666666666664,39.25
20180621,45.458333333333336,91.25,47.25,38.666666666666664
20180622,42.416666666666664,90.45833333333333,32.291666666666664,32.708333333333336
20180623,61.791666666666664,128.75,30.083333333333332,28.875
20180624,55.25,121.5,33.875,25.5
20180625,80.83333333333333,109.16666666666667,22.875,26.0
20180626,87.73913043478261,183.43478260869566,33.52173913043478,28.73913043478261
20180627,66.08695652173913,57.34782608695652,55.52173913043478,29.434782608695652
20180628,56.958333333333336,40.5,50.0,35.166666666666664
20180629,58.916666666666664,71.875,56.791666666666664,37.125
20180630,33.833333333333336,108.54166666666667,38.958333333333336,32.208333333333336
20180701,26.291666666666668,80.66666666666667,41.875,32.291666666666664
20180702,29.75,72.95833333333333,37.625,34.625
20180703,32.291666666666664,85.08333333333333,42.291666666666664,34.583333333333336
20180704,59.416666666666664,112.95833333333333,42.5,34.208333333333336
20180705,40.791666666666664,126.5,42.041666666666664,31.916666666666668
20180706,30.75,92.33333333333333,42.125,33.0
20180707,27.041666666666668,72.91666666666667,32.416666666666664,33.791666666666664
20180708,59.5,81.125,36.125,31.416666666666668
20180709,39.166666666666664,103.5,32.25,27.416666666666668
20180710,29.458333333333332,49.041666666666664,37.708333333333336,32.583333333333336
20180711,39.708333333333336,43.208333333333336,86.16666666666667,49.5
20180712,30.583333333333332,44.208333333333336,63.083333333333336,26.875
20180713,30.25,59.166666666666664,27.583333333333332,21.291666666666668
20180714,32.291666666666664,80.83333333333333,22.75,24.375
20180715,31.541666666666668,99.25,25.666666666666668,24.333333333333332
20180716,26.625,45.083333333333336,40.0,27.916666666666668
20180717,25.333333333333332,27.291666666666668,58.458333333333336,42.125
20180718,25.833333333333332,105.45833333333333,37.708333333333336,29.958333333333332
20180719,24.0,91.25,35.541666666666664,29.208333333333332
20180720,39.708333333333336,114.91666666666667,40.458333333333336,27.958333333333332
20180721,41.25,107.875,70.75,41.083333333333336
20180722,21.375,69.41666666666667,53.958333333333336,33.958333333333336
20180723,28.823529411764707,79.6470588235294,35.294117647058826,31.470588235294116
20180724,66.125,27.791666666666668,29.166666666666668,38.458333333333336
20180725,86.95833333333333,36.166666666666664,42.916666666666664,38.333333333333336
20180726,68.25,48.875,43.958333333333336,34.208333333333336
20180727,101.0,68.20833333333333,43.5,29.5
20180728,96.91666666666667,94.625,46.833333333333336,28.791666666666668
